survey_id,registration_id,satisfaction_score,usefulness_score,instructor_score,recommendation_score,overall_score,NPS_bucket,survey_comments,survey_submission_date
21,29,5,4,4,5,4.5,Promoter,"The goal-setting exercise during Girls in STEAM Mentoring really clicked for me, I left with actionable next steps; I'd come again and bring a classmate next time. The organizers ran things smoothly even with a big crowd, the mentor roundtable during Girls in STEAM Mentoring really clicked for me. Surprisingly, the networking breakouts during Girls in STEAM Mentoring really clicked for me, I left with actionable next steps; I'd definitely recommend this to a friend.",9/12/23 20:19
22,30,4,4,5,5,4.5,Promoter,"The data activity during Robotics Lab Saturday really clicked for me, I left with actionable next steps; I left energized to keep learning. Honestly, the Python lab during Robotics Lab Saturday really clicked for me, it boosted my confidence more than I expected; This pushed me to apply for a related program.",5/3/25 11:08
23,32,5,4,5,3,4.25,Detractor,"The breakout workshops during Ella Rises Annual Leadership Conference really clicked for me, the hands-on segment tied everything together. The breakout workshops during Ella Rises Annual Leadership Conference really clicked for me, the organizers ran things smoothly even with a big crowd; I'm curious to see how the next session improves. — next time I'd bring a friend.",6/17/22 8:26
24,33,4,3,5,5,4.25,Promoter,"Overall, the data activity during Web Dev Bootcamp Night really clicked for me, the mentors were down-to-earth and answered real questions; I'm curious to see how the next session improves. The coding challenges during Web Dev Bootcamp Night really clicked for me, I left with actionable next steps; I might recommend it depending on the topic!",5/29/22 0:07
25,34,4,4,4,5,4.25,Promoter,"The pacing made complex ideas feel doable, the data activity during Web Dev Bootcamp Night really clicked for me; I'd attend again with a clearer agenda. The data activity during Web Dev Bootcamp Night really clicked for me, the organizers ran things smoothly even with a big crowd; I'd attend again with a clearer agenda.",6/24/22 15:23
26,35,4,3,5,4,4,Passive,"The mentor roundtable during Mentor Office Hours really clicked for me, the hands-on segment tied everything together; I'd attend again with a clearer agenda. The mentors were down-to-earth and answered real questions, the resume clinic during Mentor Office Hours really clicked for me. It boosted my confidence more than I expected, the networking breakouts during Mentor Office Hours really clicked for me.",6/9/25 20:06
27,36,5,5,4,5,4.75,Promoter,"The networking breakouts during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd. The panel Q&A during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; I left energized to keep learning!",4/23/24 9:11
28,37,5,5,4,5,4.75,Promoter,"There were concrete examples I can reuse at school, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me (wish there had been more time). From my perspective, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me, it boosted my confidence more than I expected; This pushed me to apply for a related program. In my opinion, the hands-on segment tied everything together, the mentor roundtable during Girls in STEAM Mentoring really clicked for me.",6/13/24 9:26
29,40,5,5,5,4,4.75,Passive,"To be fair, the web dev sprint during Robotics Lab Saturday really clicked for me, the organizers ran things smoothly even with a big crowd. There were concrete examples I can reuse at school, the Arduino demo during Robotics Lab Saturday really clicked for me; This was absolutely worth the time.",3/12/23 2:14
30,41,4,5,5,4,4.5,Passive,"It boosted my confidence more than I expected, the resume clinic during Girls in STEAM Mentoring really clicked for me. The mentors were down-to-earth and answered real questions, the panel Q&A during Girls in STEAM Mentoring really clicked for me!",10/11/22 22:24
31,42,5,4,5,5,4.75,Promoter,"Honestly, I met people who want to collaborate on projects, the resume clinic during Mentor Office Hours really clicked for me. To be fair, the goal-setting exercise during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected. The mentors were down-to-earth and answered real questions, the panel Q&A during Mentor Office Hours really clicked for me.",6/20/23 4:03
32,43,5,4,3,5,4.25,Promoter,"From my perspective, there were concrete examples I can reuse at school, the panel Q&A during Mentor Office Hours really clicked for me. To be fair, the mentors were down-to-earth and answered real questions, the panel Q&A during Mentor Office Hours really clicked for me. The mentors were down-to-earth and answered real questions, the panel Q&A during Mentor Office Hours really clicked for me.",12/7/21 9:15
33,44,5,3,5,4,4.25,Passive,"If I'm being honest, the mentor roundtable during Girls in STEAM Mentoring really clicked for me, the pacing made complex ideas feel doable; It was useful overall! Honestly, the panel Q&A during Girls in STEAM Mentoring really clicked for me, there were concrete examples I can reuse at school; It was useful overall. Overall, the pacing made complex ideas feel doable, the mentor roundtable during Girls in STEAM Mentoring really clicked for me. Surprisingly, the mentor roundtable during Girls in STEAM Mentoring really clicked for me, the hands-on segment tied everything together; It was useful overall. — which surprised me in a good way!",10/23/24 8:01
34,47,5,4,5,4,4.5,Passive,"Overall, the mentor roundtable during Mentor Office Hours really clicked for me, the hands-on segment tied everything together; This pushed me to apply for a related program. The goal-setting exercise during Mentor Office Hours really clicked for me, the mentors were down-to-earth and answered real questions; I'd definitely recommend this to a friend. I didn't expect this, but, the organizers ran things smoothly even with a big crowd, the mentor roundtable during Mentor Office Hours really clicked for me! Overall, the resume clinic during Mentor Office Hours really clicked for me, the hands-on segment tied everything together.",3/9/25 17:26
35,48,5,4,4,5,4.5,Promoter,"I left with actionable next steps, the robot build during Robotics Lab Saturday really clicked for me; I left energized to keep learning. (wish there had been more time). Honestly, the coding challenges during Robotics Lab Saturday really clicked for me, the hands-on segment tied everything together; I left energized to keep learning. (wish there had been more time). From my perspective, the data activity during Robotics Lab Saturday really clicked for me, the hands-on segment tied everything together — which surprised me in a good way.",4/16/23 23:01
36,50,4,3,5,5,4.25,Promoter,"I didn't expect this, but, I left with actionable next steps, the mentor roundtable during Mentor Office Hours really clicked for me; It was useful overall. I met people who want to collaborate on projects, the panel Q&A during Mentor Office Hours really clicked for me; It was useful overall. — especially for beginners. The panel Q&A during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; It was useful overall.",8/28/23 13:12
37,51,4,4,4,5,4.25,Promoter,"There were concrete examples I can reuse at school, the panel Q&A during Mentor Office Hours really clicked for me. Overall, the mentor roundtable during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected. The goal-setting exercise during Mentor Office Hours really clicked for me, I left with actionable next steps (snacks were a plus).",5/9/23 7:00
38,52,5,5,5,5,5,Promoter,"The panel Q&A during Girls in STEAM Mentoring really clicked for me, the hands-on segment tied everything together. Overall, there were concrete examples I can reuse at school, the mentor roundtable during Girls in STEAM Mentoring really clicked for me.",5/16/23 19:12
39,53,5,4,4,4,4.25,Passive,"By the end, I left with actionable next steps, the networking breakouts during Leadership Circle Meetup really clicked for me; I'd attend again with a clearer agenda. — next time I'd bring a friend. Overall, the networking breakouts during Leadership Circle Meetup really clicked for me, the mentors were down-to-earth and answered real questions. The goal-setting exercise during Leadership Circle Meetup really clicked for me, I left with actionable next steps (snacks were a plus)!",3/15/23 22:14
40,54,5,4,5,5,4.75,Promoter,"Overall, the coding challenges during Web Dev Bootcamp Night really clicked for me, the mentors were down-to-earth and answered real questions (snacks were a plus). The coding challenges during Web Dev Bootcamp Night really clicked for me, the organizers ran things smoothly even with a big crowd; I'd definitely recommend this to a friend. The coding challenges during Web Dev Bootcamp Night really clicked for me, the organizers ran things smoothly even with a big crowd; This pushed me to apply for a related program.",12/28/24 6:07
41,55,4,5,4,4,4.25,Passive,"At first, it boosted my confidence more than I expected, the mentor roundtable during Leadership Circle Meetup really clicked for me! To be fair, the resume clinic during Leadership Circle Meetup really clicked for me, the hands-on segment tied everything together. I left with actionable next steps, the networking breakouts during Leadership Circle Meetup really clicked for me; It was useful overall.",12/15/22 22:12
42,57,5,5,5,5,5,Promoter,"I left with actionable next steps, the networking breakouts during Girls in STEAM Mentoring really clicked for me; I'd definitely recommend this to a friend. I didn't expect this, but, the pacing made complex ideas feel doable, the panel Q&A during Girls in STEAM Mentoring really clicked for me. Overall, the organizers ran things smoothly even with a big crowd, the panel Q&A during Girls in STEAM Mentoring really clicked for me.",5/14/25 3:17
43,59,5,4,5,5,4.75,Promoter,"The networking breakouts during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; This pushed me to apply for a related program. (snacks were a plus). By the end, the pacing made complex ideas feel doable, the resume clinic during Mentor Office Hours really clicked for me. From my perspective, the mentor roundtable during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; I'd definitely recommend this to a friend.",10/1/23 16:01
44,60,5,5,4,4,4.5,Passive,"The color theory lesson during Intro to Painting Class really clicked for me, the hands-on segment tied everything together; This pushed me to apply for a related program.",9/5/25 3:24
45,61,3,5,5,5,4.5,Promoter,"Overall, the Python lab during Robotics Lab Saturday really clicked for me, the pacing made complex ideas feel doable! I didn't expect this, but, the web dev sprint during Robotics Lab Saturday really clicked for me, the mentors were down-to-earth and answered real questions; I'd come again and bring a classmate next time! I didn't expect this, but, the hands-on segment tied everything together, the web dev sprint during Robotics Lab Saturday really clicked for me.",4/27/24 23:29
46,62,5,4,5,5,4.75,Promoter,"I met people who want to collaborate on projects, the web dev sprint during Robotics Lab Saturday really clicked for me. The Python lab during Robotics Lab Saturday really clicked for me, I met people who want to collaborate on projects; I left energized to keep learning.",3/5/23 9:29
47,63,5,5,5,4,4.75,Passive,"The hands-on segment tied everything together, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me (wish there had been more time)! From my perspective, the pacing made complex ideas feel doable, the networking breakouts during Girls in STEAM Mentoring really clicked for me.",8/7/24 8:24
48,67,5,4,5,5,4.75,Promoter,"Honestly, the pacing made complex ideas feel doable, the panel Q&A during Girls in STEAM Mentoring really clicked for me; I'd definitely recommend this to a friend. At first, there were concrete examples I can reuse at school, the panel Q&A during Girls in STEAM Mentoring really clicked for me. In my opinion, the resume clinic during Girls in STEAM Mentoring really clicked for me, the mentors were down-to-earth and answered real questions; I left energized to keep learning.",9/27/22 17:18
49,68,3,4,5,5,4.25,Promoter,"The coding challenges during Data Science Study Group really clicked for me, there were concrete examples I can reuse at school. I didn't expect this, but, I left with actionable next steps, the coding challenges during Data Science Study Group really clicked for me; I might recommend it depending on the topic! The hands-on segment tied everything together, the Python lab during Data Science Study Group really clicked for me; It was useful overall.",9/24/25 12:24
50,69,4,5,5,5,4.75,Promoter,"It boosted my confidence more than I expected, the resume clinic during Girls in STEAM Mentoring really clicked for me. The resume clinic during Girls in STEAM Mentoring really clicked for me, the pacing made complex ideas feel doable; I'd come again and bring a classmate next time. At first, the networking breakouts during Girls in STEAM Mentoring really clicked for me, the organizers ran things smoothly even with a big crowd; This was absolutely worth the time!",10/16/24 22:10
51,70,4,4,4,4,4,Passive,"The Python lab during Robotics Lab Saturday really clicked for me, the organizers ran things smoothly even with a big crowd; I'm curious to see how the next session improves. The robot build during Robotics Lab Saturday really clicked for me, it boosted my confidence more than I expected — which surprised me in a good way. To be fair, it boosted my confidence more than I expected, the Python lab during Robotics Lab Saturday really clicked for me; It was useful overall. — next time I'd bring a friend. There were concrete examples I can reuse at school, the coding challenges during Robotics Lab Saturday really clicked for me; I'm curious to see how the next session improves.",9/26/22 6:26
52,71,5,4,5,5,4.75,Promoter,"There were concrete examples I can reuse at school, the mentor roundtable during Mentor Office Hours really clicked for me; This pushed me to apply for a related program. (wish there had been more time)! By the end, the networking breakouts during Mentor Office Hours really clicked for me, I met people who want to collaborate on projects. By the end, there were concrete examples I can reuse at school, the mentor roundtable during Mentor Office Hours really clicked for me; I left energized to keep learning. (snacks were a plus).",11/14/21 17:13
53,72,4,5,5,5,4.75,Promoter,"I left with actionable next steps, the goal-setting exercise during Mentor Office Hours really clicked for me; I'd definitely recommend this to a friend! The networking breakouts during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd! The networking breakouts during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd.",10/5/25 11:13
54,73,5,4,4,3,4,Detractor,"At first, I left with actionable next steps, the robot build during Data Science Study Group really clicked for me. Overall, the coding challenges during Data Science Study Group really clicked for me, the mentors were down-to-earth and answered real questions; I might recommend it depending on the topic. — next time I'd bring a friend. By the end, the robot build during Data Science Study Group really clicked for me, the hands-on segment tied everything together.",5/31/23 11:23
55,74,4,5,5,5,4.75,Promoter,"To be fair, it boosted my confidence more than I expected, the panel Q&A during Mentor Office Hours really clicked for me; I left energized to keep learning. — especially for beginners. Honestly, the hands-on segment tied everything together, the goal-setting exercise during Mentor Office Hours really clicked for me; I left energized to keep learning. The mentor roundtable during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd; This was absolutely worth the time.",7/21/25 11:24
56,75,4,4,5,4,4.25,Passive,"The mentors were down-to-earth and answered real questions, the mentor roundtable during Mentor Office Hours really clicked for me; I'm curious to see how the next session improves. Honestly, the mentor roundtable during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd. The mentor roundtable during Mentor Office Hours really clicked for me, there were concrete examples I can reuse at school (snacks were a plus). There were concrete examples I can reuse at school, the panel Q&A during Mentor Office Hours really clicked for me — especially for beginners.",6/9/24 12:25
57,76,5,4,5,5,4.75,Promoter,"The pacing made complex ideas feel doable, the Python lab during Robotics Lab Saturday really clicked for me; I'd come again and bring a classmate next time. It boosted my confidence more than I expected, the Python lab during Robotics Lab Saturday really clicked for me; I'd come again and bring a classmate next time. By the end, the pacing made complex ideas feel doable, the Python lab during Robotics Lab Saturday really clicked for me — next time I'd bring a friend.",12/4/21 15:17
58,77,5,3,5,5,4.5,Promoter,"The robot build during Data Science Study Group really clicked for me, the organizers ran things smoothly even with a big crowd; I left energized to keep learning. — next time I'd bring a friend. From my perspective, the coding challenges during Data Science Study Group really clicked for me, it boosted my confidence more than I expected; I'd definitely recommend this to a friend!",8/13/25 23:23
59,78,4,4,5,4,4.25,Passive,"The mentors were down-to-earth and answered real questions, the coding challenges during Web Dev Bootcamp Night really clicked for me! In my opinion, the Arduino demo during Web Dev Bootcamp Night really clicked for me, the pacing made complex ideas feel doable; I'd attend again with a clearer agenda. At first, the organizers ran things smoothly even with a big crowd, the robot build during Web Dev Bootcamp Night really clicked for me; I'd attend again with a clearer agenda!",3/24/23 22:09
60,80,5,4,5,5,4.75,Promoter,"The Python lab during Monthly Coding Club really clicked for me, I met people who want to collaborate on projects. The coding challenges during Monthly Coding Club really clicked for me, the pacing made complex ideas feel doable; This pushed me to apply for a related program. From my perspective, it boosted my confidence more than I expected, the coding challenges during Monthly Coding Club really clicked for me; I left energized to keep learning. From my perspective, the coding challenges during Monthly Coding Club really clicked for me, the mentors were down-to-earth and answered real questions; I left energized to keep learning.",2/16/24 9:13
61,81,5,5,4,4,4.5,Passive,"Overall, it boosted my confidence more than I expected, the web dev sprint during Data Science Study Group really clicked for me! There were concrete examples I can reuse at school, the coding challenges during Data Science Study Group really clicked for me (wish there had been more time)! Honestly, the pacing made complex ideas feel doable, the web dev sprint during Data Science Study Group really clicked for me.",9/1/23 6:23
62,82,5,4,4,3,4,Detractor,"I met people who want to collaborate on projects, the goal-setting exercise during Mentor Office Hours really clicked for me; It was useful overall. — which surprised me in a good way. Honestly, I met people who want to collaborate on projects, the panel Q&A during Mentor Office Hours really clicked for me; It was useful overall.",9/2/25 1:24
63,83,5,5,5,4,4.75,Passive,"If I'm being honest, the Arduino demo during Data Science Study Group really clicked for me, the pacing made complex ideas feel doable; I'd definitely recommend this to a friend. I didn't expect this, but, the organizers ran things smoothly even with a big crowd, the Arduino demo during Data Science Study Group really clicked for me; I left energized to keep learning! The web dev sprint during Data Science Study Group really clicked for me, I left with actionable next steps; I left energized to keep learning.",10/30/25 23:08
64,84,4,4,3,5,4,Promoter,"The Arduino demo during Web Dev Bootcamp Night really clicked for me, the hands-on segment tied everything together; I might recommend it depending on the topic. — which surprised me in a good way. The web dev sprint during Web Dev Bootcamp Night really clicked for me, I met people who want to collaborate on projects; I'd attend again with a clearer agenda!",2/15/25 15:12
65,86,4,5,4,5,4.5,Promoter,"The robot build during Data Science Study Group really clicked for me, it boosted my confidence more than I expected; I left energized to keep learning. I didn't expect this, but, I met people who want to collaborate on projects, the data activity during Data Science Study Group really clicked for me; I'd come again and bring a classmate next time.",2/10/22 19:04
66,87,3,4,4,4,3.75,Passive,"Slides were dense, though the discussion helped, and the watercolor session was helpful during Intro to Painting Class. I'd attend again with a clearer agenda. I knew parts of it already, but I still learned something, and the watercolor session was helpful during Intro to Painting Class. I'm curious to see how the next session improves! The room was a bit crowded, yet the content landed, and the sketch warmups was helpful during Intro to Painting Class. I might recommend it depending on the topic!",4/12/24 15:08
67,88,3,5,5,3,4,Detractor,"It boosted my confidence more than I expected, the web dev sprint during Robotics Lab Saturday really clicked for me; I'd attend again with a clearer agenda. By the end, the hands-on segment tied everything together, the data activity during Robotics Lab Saturday really clicked for me; It was useful overall. The robot build during Robotics Lab Saturday really clicked for me, the organizers ran things smoothly even with a big crowd; I might recommend it depending on the topic. — especially for beginners.",8/21/23 2:21
68,89,4,4,4,5,4.25,Promoter,"Surprisingly, the panel Q&A during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected (snacks were a plus). It boosted my confidence more than I expected, the mentor roundtable during Mentor Office Hours really clicked for me.",9/30/24 21:02
69,91,5,4,5,4,4.5,Passive,"To be fair, the organizers ran things smoothly even with a big crowd, the coding challenges during Data Science Study Group really clicked for me. Honestly, the Python lab during Data Science Study Group really clicked for me, it boosted my confidence more than I expected.",4/11/24 6:09
70,92,4,4,4,5,4.25,Promoter,"It boosted my confidence more than I expected, the networking breakouts during Mentor Office Hours really clicked for me. Surprisingly, the resume clinic during Mentor Office Hours really clicked for me, the hands-on segment tied everything together — next time I'd bring a friend.",3/12/23 17:18
71,94,5,5,4,5,4.75,Promoter,"It boosted my confidence more than I expected, the panel Q&A during Girls in STEAM Mentoring really clicked for me. Surprisingly, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me, it boosted my confidence more than I expected. The mentors were down-to-earth and answered real questions, the mentor roundtable during Girls in STEAM Mentoring really clicked for me; This pushed me to apply for a related program.",2/20/25 6:08
72,95,5,5,5,4,4.75,Passive,"Surprisingly, the networking breakouts during Mentor Office Hours really clicked for me, the hands-on segment tied everything together. The organizers ran things smoothly even with a big crowd, the resume clinic during Mentor Office Hours really clicked for me. From my perspective, the networking breakouts during Mentor Office Hours really clicked for me, I left with actionable next steps; This was absolutely worth the time.",10/14/25 0:08
73,96,4,5,5,5,4.75,Promoter,"The hands-on segment tied everything together, the resume clinic during Mentor Office Hours really clicked for me; I left energized to keep learning. — which surprised me in a good way! The hands-on segment tied everything together, the goal-setting exercise during Mentor Office Hours really clicked for me!",9/25/22 17:08
74,97,5,5,5,5,5,Promoter,"The resume clinic during Mentor Office Hours really clicked for me, the mentors were down-to-earth and answered real questions! From my perspective, the mentor roundtable during Mentor Office Hours really clicked for me, the mentors were down-to-earth and answered real questions (snacks were a plus).",12/18/22 23:20
75,98,4,4,5,5,4.5,Promoter,"There were concrete examples I can reuse at school, the watercolor session during Monthly Art Studio Workshop really clicked for me; This was absolutely worth the time! Surprisingly, the sketch warmups during Monthly Art Studio Workshop really clicked for me, the mentors were down-to-earth and answered real questions; I'd definitely recommend this to a friend! To be fair, the color theory lesson during Monthly Art Studio Workshop really clicked for me, I met people who want to collaborate on projects. In my opinion, the gallery walk during Monthly Art Studio Workshop really clicked for me, I left with actionable next steps; This was absolutely worth the time. (wish there had been more time).",7/17/22 2:24
76,99,5,4,4,4,4.25,Passive,"From my perspective, the resume clinic during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected. I met people who want to collaborate on projects, the resume clinic during Mentor Office Hours really clicked for me; I'd attend again with a clearer agenda. If I'm being honest, the mentor roundtable during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; I'm curious to see how the next session improves!",11/14/22 16:00
77,100,4,4,5,5,4.5,Promoter,"It boosted my confidence more than I expected, the sketch warmups during Monthly Art Studio Workshop really clicked for me; I'd definitely recommend this to a friend. Surprisingly, the mixed-media project during Monthly Art Studio Workshop really clicked for me, I met people who want to collaborate on projects; I'd definitely recommend this to a friend. At first, the watercolor session during Monthly Art Studio Workshop really clicked for me, the mentors were down-to-earth and answered real questions!",2/16/22 15:09
78,101,3,4,5,4,4,Passive,"If I'm being honest, the hands-on segment tied everything together, the mixed-media project during Intro to Painting Class really clicked for me. At first, there were concrete examples I can reuse at school, the mixed-media project during Intro to Painting Class really clicked for me.",6/14/25 5:21
79,102,4,4,4,4,4,Passive,"The mixed-media project during Intro to Painting Class really clicked for me, I left with actionable next steps. The organizers ran things smoothly even with a big crowd, the mixed-media project during Intro to Painting Class really clicked for me; I might recommend it depending on the topic. I didn't expect this, but, the sketch warmups during Intro to Painting Class really clicked for me, the organizers ran things smoothly even with a big crowd (wish there had been more time).",6/30/23 8:26
80,103,4,4,4,5,4.25,Promoter,"The gallery walk during Intro to Painting Class really clicked for me, there were concrete examples I can reuse at school! Overall, the color theory lesson during Intro to Painting Class really clicked for me, the mentors were down-to-earth and answered real questions; I'd attend again with a clearer agenda. (wish there had been more time). Overall, the watercolor session during Intro to Painting Class really clicked for me, the mentors were down-to-earth and answered real questions (wish there had been more time).",3/29/24 10:27
81,104,5,3,4,4,4,Passive,"The networking breakouts during Mentor Office Hours really clicked for me, the pacing made complex ideas feel doable; I might recommend it depending on the topic! By the end, it boosted my confidence more than I expected, the mentor roundtable during Mentor Office Hours really clicked for me; I'd attend again with a clearer agenda. By the end, I met people who want to collaborate on projects, the mentor roundtable during Mentor Office Hours really clicked for me — especially for beginners. The organizers ran things smoothly even with a big crowd, the networking breakouts during Mentor Office Hours really clicked for me — next time I'd bring a friend.",7/22/24 2:14
82,106,4,4,5,4,4.25,Passive,"The sketch warmups during Intro to Painting Class really clicked for me, I met people who want to collaborate on projects — especially for beginners. From my perspective, the hands-on segment tied everything together, the sketch warmups during Intro to Painting Class really clicked for me.",11/2/23 23:00
83,107,4,5,5,5,4.75,Promoter,"By the end, the mentors were down-to-earth and answered real questions, the goal-setting exercise during Mentor Office Hours really clicked for me; This pushed me to apply for a related program. The pacing made complex ideas feel doable, the networking breakouts during Mentor Office Hours really clicked for me. The panel Q&A during Mentor Office Hours really clicked for me, there were concrete examples I can reuse at school.",1/26/25 13:01
